instance,max-depth,seed,train_acc,val_acc,test_acc,train_time,num_nodes,depth
nath-jones,4,42,0.9545454545454546,0.8333333333333334,0.75,0.8239080905914307,3,1
balance-scale,4,42,0.858974358974359,0.7948717948717949,0.7324840764331211,0.83856201171875,17,4
car-evaluation,4,42,0.8713789107763615,0.8657407407407407,0.8406466512702079,0.939094066619873,11,4
