instance,depth,seed,train_acc,val_acc,test_acc,train_time,num_nodes
tic-tac-toe,4,37,0.826722338204593,0.803347280334728,0.775,0.997326135635376,19
tic-tac-toe,4,42,0.837160751565762,0.803347280334728,0.7541666666666667,1.1835463047027588,21
tic-tac-toe,4,53,0.8455114822546973,0.7782426778242678,0.8083333333333333,1.0669960975646973,23
tic-tac-toe,5,37,0.8538622129436326,0.8117154811715481,0.7958333333333334,1.5382368564605713,25
tic-tac-toe,5,42,0.8622129436325678,0.8410041841004184,0.8291666666666666,1.514338731765747,25
tic-tac-toe,5,53,0.8705636743215032,0.8158995815899581,0.8041666666666667,1.5282578468322754,27
monks-1,2,37,0.7374100719424461,0.7642857142857142,0.7463768115942029,0.19399714469909668,3
monks-1,2,42,0.7338129496402878,0.75,0.7681159420289855,0.20662212371826172,3
monks-1,2,53,0.7517985611510791,0.7785714285714286,0.7028985507246377,0.21848487854003906,3
monks-1,3,37,0.8669064748201438,0.7857142857142857,0.8405797101449275,0.27338099479675293,9
monks-1,3,42,0.9028776978417266,0.8857142857142857,0.8913043478260869,0.28099870681762695,13
monks-1,3,53,0.8848920863309353,0.8142857142857143,0.8188405797101449,0.2647249698638916,9
monks-1,4,37,1.0,1.0,1.0,0.47371506690979004,13
monks-1,4,42,1.0,1.0,1.0,0.4279937744140625,15
monks-1,4,53,1.0,1.0,1.0,0.3659961223602295,13
monks-1,5,37,1.0,1.0,1.0,0.5476570129394531,13
monks-1,5,42,1.0,1.0,1.0,0.7099390029907227,13
monks-1,5,53,1.0,1.0,1.0,0.5795300006866455,13
monks-2,2,37,0.6578073089700996,0.6533333333333333,0.6599999999999999,0.1735820770263672,1
monks-2,2,42,0.6578073089700996,0.6533333333333333,0.6599999999999999,0.2019650936126709,1
monks-2,2,53,0.6578073089700996,0.6533333333333333,0.6599999999999999,0.22196507453918457,1
monks-2,3,37,0.6910299003322259,0.6066666666666667,0.6333333333333333,0.34331607818603516,7
monks-2,3,42,0.6578073089700996,0.6533333333333333,0.6599999999999999,0.3223421573638916,1
monks-2,3,53,0.6578073089700996,0.6533333333333333,0.6599999999999999,0.3083159923553467,1
monks-2,4,37,0.7475083056478405,0.5666666666666667,0.6599999999999999,0.4592728614807129,19
monks-2,4,42,0.6578073089700996,0.6533333333333333,0.6599999999999999,0.49291110038757324,1
monks-2,4,53,0.6578073089700996,0.6533333333333333,0.6599999999999999,0.47687697410583496,1
monks-2,5,37,0.7674418604651163,0.6666666666666667,0.7,0.7232189178466797,19
monks-2,5,42,0.7641196013289037,0.7066666666666667,0.6866666666666666,0.6825432777404785,17
monks-2,5,53,0.6578073089700996,0.6533333333333333,0.6599999999999999,0.5996811389923096,1
monks-3,2,37,0.9602888086642599,0.9565217391304348,0.9784172661870504,0.2114729881286621,5
monks-3,2,42,0.9566787003610109,0.9710144927536232,0.9712230215827338,0.2453148365020752,5
monks-3,2,53,0.9711191335740073,0.9420289855072463,0.9712230215827338,0.23412823677062988,5
monks-3,3,37,0.9602888086642599,0.9565217391304348,0.9784172661870504,0.2918510437011719,5
monks-3,3,42,0.9855595667870036,0.9927536231884058,0.9928057553956835,0.35886693000793457,9
monks-3,3,53,0.9927797833935018,0.9782608695652174,0.9928057553956835,0.2799649238586426,9
monks-3,4,37,0.9602888086642599,0.9565217391304348,0.9784172661870504,0.41974592208862305,5
monks-3,4,42,0.9855595667870036,0.9927536231884058,0.9928057553956835,0.3572580814361572,9
monks-3,4,53,0.9927797833935018,0.9782608695652174,0.9928057553956835,0.37713193893432617,9
monks-3,5,37,0.9855595667870036,1.0,0.9856115107913669,0.4370729923248291,9
monks-3,5,42,0.9855595667870036,0.9927536231884058,0.9928057553956835,0.43309593200683594,9
monks-3,5,53,0.9927797833935018,0.9782608695652174,0.9928057553956835,0.43199992179870605,9
