instance,depth,seed,train_acc,val_acc,test_acc,train_time
monks-3,2,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,0.0007998943328857422
monks-3,3,37,0.9963898916967509,0.9637681159420289,1.0,0.0009598731994628906
monks-3,3,42,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0007851123809814453
monks-3,3,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,0.0007679462432861328
monks-3,4,37,0.9963898916967509,0.9637681159420289,1.0,0.000804901123046875
monks-3,4,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,0.0015339851379394531
monks-3,4,53,0.9927797833935018,0.9782608695652174,0.9928057553956835,0.0012750625610351562
monks-3,5,37,0.9963898916967509,0.9637681159420289,1.0,0.0018451213836669922
monks-3,5,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,0.0014660358428955078
monks-3,5,53,0.9963898916967509,0.9637681159420289,0.9784172661870504,0.0012249946594238281
