instance,max-depth,seed,train_acc,val_acc,test_acc,train_time,num_nodes,depth
nath-jones,4,42,1.0,0.7272727272727273,0.6666666666666666,0.0063970088958740234,9,
balance-scale,4,42,0.8301282051282052,0.782051282051282,0.7452229299363057,0.0026531219482421875,31,
car-evaluation,4,42,0.8599537037037037,0.8819444444444444,0.8472222222222222,0.0011739730834960938,11,
